episode,seed,model_name,policy_type,level,total_reward,grid_coverage_percent,events_detected,events_missed,high_priority_miss_rate,on_time_detection_rate,path_efficiency,fallback_rate,coordinator_decision_source,coordinator_fallback_count,target_assignment_count,last_llm_diagnosis
156,197,Qwen/Qwen3-1.7B,qwen_llm_coordinator,6,-116.0,89.0,1,9,0.0,1.0,1.0,1.0,heuristic_fallback,50,50,provider_or_model_configuration_error
157,198,Qwen/Qwen3-1.7B,qwen_llm_coordinator,6,159.5,99.0,8,5,0.0,1.0,1.0,1.0,heuristic_fallback,50,50,provider_or_model_configuration_error
158,199,Qwen/Qwen3-1.7B,qwen_llm_coordinator,6,213.0,92.0,6,2,0.0,1.0,1.0,1.0,heuristic_fallback,50,50,provider_or_model_configuration_error
159,200,Qwen/Qwen3-1.7B,qwen_llm_coordinator,6,-67.0,92.0,4,6,0.3333333333333333,1.0,1.0,1.0,heuristic_fallback,50,50,provider_or_model_configuration_error
160,201,Qwen/Qwen3-1.7B,qwen_llm_coordinator,6,221.0,89.0,10,4,0.0,1.0,1.0,1.0,heuristic_fallback,50,50,provider_or_model_configuration_error
161,202,Qwen/Qwen3-1.7B,qwen_llm_coordinator,6,75.0,81.0,4,4,0.0,1.0,1.0,1.0,heuristic_fallback,50,50,provider_or_model_configuration_error
162,203,Qwen/Qwen3-1.7B,qwen_llm_coordinator,6,-91.0,90.0,1,6,0.0,1.0,1.0,1.0,heuristic_fallback,50,50,provider_or_model_configuration_error
163,204,Qwen/Qwen3-1.7B,qwen_llm_coordinator,6,12.0,87.0,4,3,0.0,1.0,1.0,1.0,heuristic_fallback,50,50,provider_or_model_configuration_error
164,205,Qwen/Qwen3-1.7B,qwen_llm_coordinator,6,-20.5,80.0,2,5,0.0,1.0,1.0,1.0,heuristic_fallback,50,50,provider_or_model_configuration_error
165,206,Qwen/Qwen3-1.7B,qwen_llm_coordinator,6,107.0,81.0,6,3,0.0,1.0,1.0,1.0,heuristic_fallback,50,50,provider_or_model_configuration_error
166,207,Qwen/Qwen3-1.7B,qwen_llm_coordinator,6,22.0,79.0,2,3,0.0,1.0,1.0,1.0,heuristic_fallback,50,50,provider_or_model_configuration_error
167,208,Qwen/Qwen3-1.7B,qwen_llm_coordinator,6,-38.0,99.0,4,4,1.0,1.0,1.0,1.0,heuristic_fallback,50,50,provider_or_model_configuration_error
168,209,Qwen/Qwen3-1.7B,qwen_llm_coordinator,6,98.5,82.0,4,4,0.0,1.0,1.0,1.0,heuristic_fallback,50,50,provider_or_model_configuration_error
169,210,Qwen/Qwen3-1.7B,qwen_llm_coordinator,6,58.0,89.0,5,5,0.0,1.0,1.0,1.0,heuristic_fallback,50,50,provider_or_model_configuration_error
170,211,Qwen/Qwen3-1.7B,qwen_llm_coordinator,6,-37.0,77.0,3,5,0.0,1.0,1.0,1.0,heuristic_fallback,50,50,provider_or_model_configuration_error
171,212,Qwen/Qwen3-1.7B,qwen_llm_coordinator,6,136.0,77.0,6,2,0.0,1.0,1.0,1.0,heuristic_fallback,50,50,provider_or_model_configuration_error
172,213,Qwen/Qwen3-1.7B,qwen_llm_coordinator,6,40.5,89.0,2,1,0.0,1.0,1.0,1.0,heuristic_fallback,50,50,provider_or_model_configuration_error
173,214,Qwen/Qwen3-1.7B,qwen_llm_coordinator,6,-63.5,75.0,5,5,0.5,1.0,1.0,1.0,heuristic_fallback,50,50,provider_or_model_configuration_error
174,215,Qwen/Qwen3-1.7B,qwen_llm_coordinator,6,-100.5,77.0,1,5,0.0,1.0,1.0,1.0,heuristic_fallback,50,50,provider_or_model_configuration_error
175,216,Qwen/Qwen3-1.7B,qwen_llm_coordinator,6,92.5,97.0,6,5,0.0,1.0,1.0,1.0,heuristic_fallback,50,50,provider_or_model_configuration_error
176,217,Qwen/Qwen3-1.7B,qwen_llm_coordinator,6,-52.0,89.0,5,4,0.5,1.0,1.0,1.0,heuristic_fallback,50,50,provider_or_model_configuration_error
177,218,Qwen/Qwen3-1.7B,qwen_llm_coordinator,6,167.0,86.0,5,2,0.0,1.0,1.0,1.0,heuristic_fallback,50,50,provider_or_model_configuration_error
178,219,Qwen/Qwen3-1.7B,qwen_llm_coordinator,6,-165.0,73.0,2,7,1.0,1.0,1.0,1.0,heuristic_fallback,50,50,provider_or_model_configuration_error
179,220,Qwen/Qwen3-1.7B,qwen_llm_coordinator,6,-51.5,81.0,1,3,0.0,1.0,1.0,1.0,heuristic_fallback,50,50,provider_or_model_configuration_error
180,221,Qwen/Qwen3-1.7B,qwen_llm_coordinator,6,-186.0,77.0,1,8,0.5,1.0,1.0,1.0,heuristic_fallback,50,50,provider_or_model_configuration_error
181,222,Qwen/Qwen3-1.7B,qwen_llm_coordinator,6,33.5,94.0,6,4,0.5,1.0,1.0,1.0,heuristic_fallback,50,50,provider_or_model_configuration_error
182,223,Qwen/Qwen3-1.7B,qwen_llm_coordinator,6,-56.5,90.0,5,5,0.6666666666666666,1.0,1.0,1.0,heuristic_fallback,50,50,provider_or_model_configuration_error
183,224,Qwen/Qwen3-1.7B,qwen_llm_coordinator,6,-125.5,85.0,4,9,1.0,0.75,1.0,1.0,heuristic_fallback,50,50,provider_or_model_configuration_error
184,225,Qwen/Qwen3-1.7B,qwen_llm_coordinator,6,-80.5,91.0,6,6,1.0,1.0,1.0,1.0,heuristic_fallback,50,50,provider_or_model_configuration_error
185,226,Qwen/Qwen3-1.7B,qwen_llm_coordinator,6,-135.5,88.0,2,5,1.0,1.0,1.0,1.0,heuristic_fallback,50,50,provider_or_model_configuration_error
186,227,Qwen/Qwen3-1.7B,qwen_llm_coordinator,6,-83.5,81.0,3,4,0.5,1.0,1.0,1.0,heuristic_fallback,50,50,provider_or_model_configuration_error
187,228,Qwen/Qwen3-1.7B,qwen_llm_coordinator,6,-31.5,82.0,4,3,0.5,1.0,1.0,1.0,heuristic_fallback,50,50,provider_or_model_configuration_error
188,229,Qwen/Qwen3-1.7B,qwen_llm_coordinator,6,50.5,100.0,4,5,0.0,1.0,1.0,1.0,heuristic_fallback,50,50,provider_or_model_configuration_error
189,230,Qwen/Qwen3-1.7B,qwen_llm_coordinator,6,186.0,77.0,9,6,0.0,1.0,1.0,1.0,heuristic_fallback,50,50,provider_or_model_configuration_error
190,231,Qwen/Qwen3-1.7B,qwen_llm_coordinator,6,-24.0,100.0,3,2,0.5,1.0,1.0,1.0,heuristic_fallback,50,50,provider_or_model_configuration_error
191,232,Qwen/Qwen3-1.7B,qwen_llm_coordinator,6,19.5,82.0,4,6,0.0,1.0,1.0,1.0,heuristic_fallback,50,50,provider_or_model_configuration_error
192,233,Qwen/Qwen3-1.7B,qwen_llm_coordinator,6,26.0,87.0,4,3,0.0,1.0,1.0,1.0,heuristic_fallback,50,50,provider_or_model_configuration_error
193,234,Qwen/Qwen3-1.7B,qwen_llm_coordinator,6,94.5,91.0,7,3,0.3333333333333333,1.0,1.0,1.0,heuristic_fallback,50,50,provider_or_model_configuration_error
194,235,Qwen/Qwen3-1.7B,qwen_llm_coordinator,6,207.0,76.0,8,4,0.0,1.0,1.0,1.0,heuristic_fallback,50,50,provider_or_model_configuration_error
195,236,Qwen/Qwen3-1.7B,qwen_llm_coordinator,6,42.5,76.0,2,5,0.0,1.0,1.0,1.0,heuristic_fallback,50,50,provider_or_model_configuration_error
196,237,Qwen/Qwen3-1.7B,qwen_llm_coordinator,6,-74.5,79.0,1,5,0.0,1.0,1.0,1.0,heuristic_fallback,50,50,provider_or_model_configuration_error
197,238,Qwen/Qwen3-1.7B,qwen_llm_coordinator,6,83.0,95.0,4,2,0.0,1.0,1.0,1.0,heuristic_fallback,50,50,provider_or_model_configuration_error
198,239,Qwen/Qwen3-1.7B,qwen_llm_coordinator,6,239.0,78.0,8,5,0.0,1.0,1.0,1.0,heuristic_fallback,50,50,provider_or_model_configuration_error
199,240,Qwen/Qwen3-1.7B,qwen_llm_coordinator,6,-55.0,89.0,4,5,0.5,1.0,1.0,1.0,heuristic_fallback,50,50,provider_or_model_configuration_error
200,241,Qwen/Qwen3-1.7B,qwen_llm_coordinator,6,123.5,87.0,6,3,0.0,1.0,1.0,1.0,heuristic_fallback,50,50,provider_or_model_configuration_error
201,242,Qwen/Qwen3-1.7B,qwen_llm_coordinator,6,47.0,86.0,4,4,0.0,1.0,1.0,1.0,heuristic_fallback,50,50,provider_or_model_configuration_error
202,243,Qwen/Qwen3-1.7B,qwen_llm_coordinator,6,1.0,86.0,7,4,0.6666666666666666,1.0,1.0,1.0,heuristic_fallback,50,50,provider_or_model_configuration_error
203,244,Qwen/Qwen3-1.7B,qwen_llm_coordinator,6,181.0,74.0,8,3,0.0,1.0,1.0,1.0,heuristic_fallback,50,50,provider_or_model_configuration_error
204,245,Qwen/Qwen3-1.7B,qwen_llm_coordinator,6,21.0,82.0,4,4,0.0,1.0,1.0,1.0,heuristic_fallback,50,50,provider_or_model_configuration_error
205,246,Qwen/Qwen3-1.7B,qwen_llm_coordinator,6,16.0,82.0,6,6,0.5,1.0,1.0,1.0,heuristic_fallback,50,50,provider_or_model_configuration_error
206,247,Qwen/Qwen3-1.7B,qwen_llm_coordinator,6,224.0,95.0,7,2,0.0,1.0,1.0,1.0,heuristic_fallback,50,50,provider_or_model_configuration_error
207,248,Qwen/Qwen3-1.7B,qwen_llm_coordinator,6,95.0,94.0,4,3,0.0,1.0,1.0,1.0,heuristic_fallback,50,50,provider_or_model_configuration_error
208,249,Qwen/Qwen3-1.7B,qwen_llm_coordinator,6,-1.0,91.0,7,5,1.0,1.0,1.0,1.0,heuristic_fallback,50,50,provider_or_model_configuration_error
209,250,Qwen/Qwen3-1.7B,qwen_llm_coordinator,6,-62.0,79.0,4,5,0.5,1.0,1.0,1.0,heuristic_fallback,50,50,provider_or_model_configuration_error
210,251,Qwen/Qwen3-1.7B,qwen_llm_coordinator,6,-28.0,90.0,8,5,1.0,1.0,1.0,1.0,heuristic_fallback,50,50,provider_or_model_configuration_error
211,252,Qwen/Qwen3-1.7B,qwen_llm_coordinator,6,-1.5,90.0,5,4,1.0,1.0,1.0,1.0,heuristic_fallback,50,50,provider_or_model_configuration_error
212,253,Qwen/Qwen3-1.7B,qwen_llm_coordinator,6,126.0,80.0,9,2,1.0,1.0,1.0,1.0,heuristic_fallback,50,50,provider_or_model_configuration_error
213,254,Qwen/Qwen3-1.7B,qwen_llm_coordinator,6,271.5,81.0,9,3,0.0,1.0,1.0,1.0,heuristic_fallback,50,50,provider_or_model_configuration_error
214,255,Qwen/Qwen3-1.7B,qwen_llm_coordinator,6,260.5,84.0,7,0,0.0,1.0,1.0,1.0,heuristic_fallback,50,50,provider_or_model_configuration_error
215,256,Qwen/Qwen3-1.7B,qwen_llm_coordinator,6,-6.0,91.0,6,5,1.0,1.0,1.0,1.0,heuristic_fallback,50,50,provider_or_model_configuration_error
216,257,Qwen/Qwen3-1.7B,qwen_llm_coordinator,6,-167.0,92.0,1,9,0.0,1.0,1.0,1.0,heuristic_fallback,50,50,provider_or_model_configuration_error
217,258,Qwen/Qwen3-1.7B,qwen_llm_coordinator,6,7.0,82.0,7,7,0.5,1.0,1.0,1.0,heuristic_fallback,50,50,provider_or_model_configuration_error
218,259,Qwen/Qwen3-1.7B,qwen_llm_coordinator,6,167.5,83.0,6,4,0.0,1.0,1.0,1.0,heuristic_fallback,50,50,provider_or_model_configuration_error
219,260,Qwen/Qwen3-1.7B,qwen_llm_coordinator,6,94.0,92.0,7,4,0.0,1.0,1.0,1.0,heuristic_fallback,50,50,provider_or_model_configuration_error
220,261,Qwen/Qwen3-1.7B,qwen_llm_coordinator,6,109.5,81.0,8,2,1.0,1.0,1.0,1.0,heuristic_fallback,50,50,provider_or_model_configuration_error
221,262,Qwen/Qwen3-1.7B,qwen_llm_coordinator,6,-31.0,89.0,5,3,1.0,1.0,1.0,1.0,heuristic_fallback,50,50,provider_or_model_configuration_error
222,263,Qwen/Qwen3-1.7B,qwen_llm_coordinator,6,39.0,79.0,5,8,0.0,1.0,1.0,1.0,heuristic_fallback,50,50,provider_or_model_configuration_error
223,264,Qwen/Qwen3-1.7B,qwen_llm_coordinator,6,104.0,74.0,6,2,0.0,1.0,1.0,1.0,heuristic_fallback,50,50,provider_or_model_configuration_error
224,265,Qwen/Qwen3-1.7B,qwen_llm_coordinator,6,116.0,79.0,5,2,0.0,1.0,1.0,1.0,heuristic_fallback,50,50,provider_or_model_configuration_error
225,266,Qwen/Qwen3-1.7B,qwen_llm_coordinator,6,294.0,85.0,9,2,0.0,1.0,1.0,1.0,heuristic_fallback,50,50,provider_or_model_configuration_error
226,267,Qwen/Qwen3-1.7B,qwen_llm_coordinator,6,128.5,81.0,7,5,0.0,1.0,1.0,1.0,heuristic_fallback,50,50,provider_or_model_configuration_error
227,268,Qwen/Qwen3-1.7B,qwen_llm_coordinator,6,49.5,88.0,4,2,0.0,1.0,1.0,1.0,heuristic_fallback,50,50,provider_or_model_configuration_error
228,269,Qwen/Qwen3-1.7B,qwen_llm_coordinator,6,-9.5,74.0,4,5,0.0,1.0,1.0,1.0,heuristic_fallback,50,50,provider_or_model_configuration_error
229,270,Qwen/Qwen3-1.7B,qwen_llm_coordinator,6,26.0,83.0,6,3,1.0,1.0,1.0,1.0,heuristic_fallback,50,50,provider_or_model_configuration_error
230,271,Qwen/Qwen3-1.7B,qwen_llm_coordinator,6,115.0,90.0,7,7,0.0,1.0,1.0,1.0,heuristic_fallback,50,50,provider_or_model_configuration_error
231,272,Qwen/Qwen3-1.7B,qwen_llm_coordinator,6,3.0,79.0,2,2,0.0,1.0,1.0,1.0,heuristic_fallback,50,50,provider_or_model_configuration_error
232,273,Qwen/Qwen3-1.7B,qwen_llm_coordinator,6,31.5,87.0,2,1,0.0,1.0,1.0,1.0,heuristic_fallback,50,50,provider_or_model_configuration_error
233,274,Qwen/Qwen3-1.7B,qwen_llm_coordinator,6,272.5,89.0,9,2,0.0,1.0,1.0,1.0,heuristic_fallback,50,50,provider_or_model_configuration_error
234,275,Qwen/Qwen3-1.7B,qwen_llm_coordinator,6,149.5,99.0,8,4,0.0,1.0,1.0,1.0,heuristic_fallback,50,50,provider_or_model_configuration_error
235,276,Qwen/Qwen3-1.7B,qwen_llm_coordinator,6,127.5,93.0,7,5,0.0,1.0,1.0,1.0,heuristic_fallback,50,50,provider_or_model_configuration_error
236,277,Qwen/Qwen3-1.7B,qwen_llm_coordinator,6,175.0,77.0,9,3,0.0,1.0,1.0,1.0,heuristic_fallback,50,50,provider_or_model_configuration_error
237,278,Qwen/Qwen3-1.7B,qwen_llm_coordinator,6,244.0,84.0,8,3,0.0,1.0,1.0,1.0,heuristic_fallback,50,50,provider_or_model_configuration_error
238,279,Qwen/Qwen3-1.7B,qwen_llm_coordinator,6,68.5,80.0,5,6,0.0,1.0,1.0,1.0,heuristic_fallback,50,50,provider_or_model_configuration_error
239,280,Qwen/Qwen3-1.7B,qwen_llm_coordinator,6,-10.0,88.0,5,3,1.0,1.0,1.0,1.0,heuristic_fallback,50,50,provider_or_model_configuration_error
240,281,Qwen/Qwen3-1.7B,qwen_llm_coordinator,6,84.0,88.0,6,6,0.0,1.0,1.0,1.0,heuristic_fallback,50,50,provider_or_model_configuration_error
241,282,Qwen/Qwen3-1.7B,qwen_llm_coordinator,6,90.5,87.0,5,5,0.0,1.0,1.0,1.0,heuristic_fallback,50,50,provider_or_model_configuration_error
242,283,Qwen/Qwen3-1.7B,qwen_llm_coordinator,6,53.5,85.0,5,10,0.0,1.0,1.0,1.0,heuristic_fallback,50,50,provider_or_model_configuration_error
243,284,Qwen/Qwen3-1.7B,qwen_llm_coordinator,6,125.0,84.0,4,3,0.0,1.0,1.0,1.0,heuristic_fallback,50,50,provider_or_model_configuration_error
244,285,Qwen/Qwen3-1.7B,qwen_llm_coordinator,6,88.0,67.0,5,8,0.0,1.0,1.0,1.0,heuristic_fallback,50,50,provider_or_model_configuration_error
245,286,Qwen/Qwen3-1.7B,qwen_llm_coordinator,6,120.0,95.0,5,5,0.0,1.0,1.0,1.0,heuristic_fallback,50,50,provider_or_model_configuration_error
246,287,Qwen/Qwen3-1.7B,qwen_llm_coordinator,6,54.0,100.0,6,5,0.0,0.8333333333333334,1.0,1.0,heuristic_fallback,50,50,provider_or_model_configuration_error
247,288,Qwen/Qwen3-1.7B,qwen_llm_coordinator,6,223.5,85.0,9,7,0.0,1.0,1.0,1.0,heuristic_fallback,50,50,provider_or_model_configuration_error
248,289,Qwen/Qwen3-1.7B,qwen_llm_coordinator,6,193.5,90.0,5,3,0.0,1.0,1.0,1.0,heuristic_fallback,50,50,provider_or_model_configuration_error
249,290,Qwen/Qwen3-1.7B,qwen_llm_coordinator,6,139.5,72.0,4,3,0.0,1.0,1.0,1.0,heuristic_fallback,50,50,provider_or_model_configuration_error
250,291,Qwen/Qwen3-1.7B,qwen_llm_coordinator,6,11.5,78.0,7,5,1.0,0.8571428571428571,1.0,1.0,heuristic_fallback,50,50,provider_or_model_configuration_error
251,292,Qwen/Qwen3-1.7B,qwen_llm_coordinator,6,52.0,90.0,5,2,0.0,1.0,1.0,1.0,heuristic_fallback,50,50,provider_or_model_configuration_error
252,293,Qwen/Qwen3-1.7B,qwen_llm_coordinator,6,-29.0,93.0,4,3,1.0,1.0,1.0,1.0,heuristic_fallback,50,50,provider_or_model_configuration_error
253,294,Qwen/Qwen3-1.7B,qwen_llm_coordinator,6,180.0,84.0,7,2,0.0,1.0,1.0,1.0,heuristic_fallback,50,50,provider_or_model_configuration_error
254,295,Qwen/Qwen3-1.7B,qwen_llm_coordinator,6,40.0,56.00000000000001,4,4,0.0,1.0,1.0,1.0,heuristic_fallback,50,50,provider_or_model_configuration_error
255,296,Qwen/Qwen3-1.7B,qwen_llm_coordinator,6,30.5,86.0,8,7,1.0,1.0,1.0,1.0,heuristic_fallback,50,50,provider_or_model_configuration_error
256,297,Qwen/Qwen3-1.7B,qwen_llm_coordinator,6,251.0,70.0,8,4,0.0,1.0,1.0,1.0,heuristic_fallback,50,50,provider_or_model_configuration_error
257,298,Qwen/Qwen3-1.7B,qwen_llm_coordinator,6,78.5,81.0,4,7,0.0,1.0,1.0,1.0,heuristic_fallback,50,50,provider_or_model_configuration_error
258,299,Qwen/Qwen3-1.7B,qwen_llm_coordinator,6,85.0,93.0,5,7,0.0,1.0,1.0,1.0,heuristic_fallback,50,50,provider_or_model_configuration_error
259,300,Qwen/Qwen3-1.7B,qwen_llm_coordinator,6,199.5,87.0,9,3,0.0,1.0,1.0,1.0,heuristic_fallback,50,50,provider_or_model_configuration_error
260,301,Qwen/Qwen3-1.7B,qwen_llm_coordinator,6,81.0,77.0,4,7,0.0,1.0,1.0,1.0,heuristic_fallback,50,50,provider_or_model_configuration_error
261,302,Qwen/Qwen3-1.7B,qwen_llm_coordinator,6,-234.0,89.0,2,7,1.0,1.0,1.0,1.0,heuristic_fallback,50,50,provider_or_model_configuration_error
262,303,Qwen/Qwen3-1.7B,qwen_llm_coordinator,6,161.5,66.0,5,3,0.0,1.0,1.0,1.0,heuristic_fallback,50,50,provider_or_model_configuration_error
263,304,Qwen/Qwen3-1.7B,qwen_llm_coordinator,6,99.5,90.0,7,7,0.0,1.0,1.0,1.0,heuristic_fallback,50,50,provider_or_model_configuration_error
264,305,Qwen/Qwen3-1.7B,qwen_llm_coordinator,6,135.0,89.0,6,2,0.0,1.0,1.0,1.0,heuristic_fallback,50,50,provider_or_model_configuration_error
265,306,Qwen/Qwen3-1.7B,qwen_llm_coordinator,6,79.0,77.0,6,5,0.0,1.0,1.0,1.0,heuristic_fallback,50,50,provider_or_model_configuration_error
266,307,Qwen/Qwen3-1.7B,qwen_llm_coordinator,6,72.0,86.0,7,6,0.0,1.0,1.0,1.0,heuristic_fallback,50,50,provider_or_model_configuration_error
267,308,Qwen/Qwen3-1.7B,qwen_llm_coordinator,6,172.0,87.0,8,5,0.0,1.0,1.0,1.0,heuristic_fallback,50,50,provider_or_model_configuration_error
268,309,Qwen/Qwen3-1.7B,qwen_llm_coordinator,6,43.5,64.0,4,3,0.0,1.0,1.0,1.0,heuristic_fallback,50,50,provider_or_model_configuration_error
269,310,Qwen/Qwen3-1.7B,qwen_llm_coordinator,6,62.5,91.0,4,3,0.0,1.0,1.0,1.0,heuristic_fallback,50,50,provider_or_model_configuration_error
270,311,Qwen/Qwen3-1.7B,qwen_llm_coordinator,6,54.5,87.0,7,3,0.5,1.0,1.0,1.0,heuristic_fallback,50,50,provider_or_model_configuration_error
271,312,Qwen/Qwen3-1.7B,qwen_llm_coordinator,6,137.0,80.0,5,4,0.0,1.0,1.0,1.0,heuristic_fallback,50,50,provider_or_model_configuration_error
272,313,Qwen/Qwen3-1.7B,qwen_llm_coordinator,6,-14.0,89.0,5,4,1.0,1.0,1.0,1.0,heuristic_fallback,50,50,provider_or_model_configuration_error
273,314,Qwen/Qwen3-1.7B,qwen_llm_coordinator,6,155.0,88.0,11,4,0.5,1.0,1.0,1.0,heuristic_fallback,50,50,provider_or_model_configuration_error
274,315,Qwen/Qwen3-1.7B,qwen_llm_coordinator,6,-292.0,97.0,2,9,1.0,1.0,1.0,1.0,heuristic_fallback,50,50,provider_or_model_configuration_error
275,316,Qwen/Qwen3-1.7B,qwen_llm_coordinator,6,-5.5,71.0,2,4,0.0,1.0,1.0,1.0,heuristic_fallback,50,50,provider_or_model_configuration_error
276,317,Qwen/Qwen3-1.7B,qwen_llm_coordinator,6,50.5,68.0,4,3,0.0,1.0,1.0,1.0,heuristic_fallback,50,50,provider_or_model_configuration_error
277,318,Qwen/Qwen3-1.7B,qwen_llm_coordinator,6,137.5,86.0,7,4,0.0,1.0,1.0,1.0,heuristic_fallback,50,50,provider_or_model_configuration_error
278,319,Qwen/Qwen3-1.7B,qwen_llm_coordinator,6,-77.0,83.0,2,7,0.0,1.0,1.0,1.0,heuristic_fallback,50,50,provider_or_model_configuration_error
279,320,Qwen/Qwen3-1.7B,qwen_llm_coordinator,6,133.5,95.0,5,5,0.0,1.0,1.0,1.0,heuristic_fallback,50,50,provider_or_model_configuration_error
280,321,Qwen/Qwen3-1.7B,qwen_llm_coordinator,6,194.5,95.0,7,3,0.0,1.0,1.0,1.0,heuristic_fallback,50,50,provider_or_model_configuration_error
281,322,Qwen/Qwen3-1.7B,qwen_llm_coordinator,6,167.5,79.0,8,1,0.0,1.0,1.0,1.0,heuristic_fallback,50,50,provider_or_model_configuration_error
282,323,Qwen/Qwen3-1.7B,qwen_llm_coordinator,6,256.5,87.0,7,2,0.0,1.0,1.0,1.0,heuristic_fallback,50,50,provider_or_model_configuration_error
283,324,Qwen/Qwen3-1.7B,qwen_llm_coordinator,6,21.0,85.0,4,4,0.0,1.0,1.0,1.0,heuristic_fallback,50,50,provider_or_model_configuration_error
284,325,Qwen/Qwen3-1.7B,qwen_llm_coordinator,6,-14.5,78.0,5,4,0.5,1.0,1.0,1.0,heuristic_fallback,50,50,provider_or_model_configuration_error
285,326,Qwen/Qwen3-1.7B,qwen_llm_coordinator,6,-77.0,60.0,4,6,1.0,1.0,1.0,1.0,heuristic_fallback,50,50,provider_or_model_configuration_error
286,327,Qwen/Qwen3-1.7B,qwen_llm_coordinator,6,12.5,82.0,3,3,0.0,1.0,1.0,1.0,heuristic_fallback,50,50,provider_or_model_configuration_error
287,328,Qwen/Qwen3-1.7B,qwen_llm_coordinator,6,43.5,88.0,3,3,0.0,1.0,1.0,1.0,heuristic_fallback,50,50,provider_or_model_configuration_error
288,329,Qwen/Qwen3-1.7B,qwen_llm_coordinator,6,67.5,71.0,5,3,0.0,1.0,1.0,1.0,heuristic_fallback,50,50,provider_or_model_configuration_error
289,330,Qwen/Qwen3-1.7B,qwen_llm_coordinator,6,-134.0,87.0,4,6,0.5,1.0,1.0,1.0,heuristic_fallback,50,50,provider_or_model_configuration_error
290,331,Qwen/Qwen3-1.7B,qwen_llm_coordinator,6,-23.0,74.0,5,3,1.0,1.0,1.0,1.0,heuristic_fallback,50,50,provider_or_model_configuration_error
291,332,Qwen/Qwen3-1.7B,qwen_llm_coordinator,6,-88.5,82.0,1,6,0.0,1.0,1.0,1.0,heuristic_fallback,50,50,provider_or_model_configuration_error
292,333,Qwen/Qwen3-1.7B,qwen_llm_coordinator,6,-62.5,94.0,3,3,1.0,1.0,1.0,1.0,heuristic_fallback,50,50,provider_or_model_configuration_error
293,334,Qwen/Qwen3-1.7B,qwen_llm_coordinator,6,-123.0,82.0,1,5,0.0,1.0,1.0,1.0,heuristic_fallback,50,50,provider_or_model_configuration_error
294,335,Qwen/Qwen3-1.7B,qwen_llm_coordinator,6,61.5,80.0,9,4,1.0,1.0,1.0,1.0,heuristic_fallback,50,50,provider_or_model_configuration_error
295,336,Qwen/Qwen3-1.7B,qwen_llm_coordinator,6,59.5,73.0,4,4,0.0,1.0,1.0,1.0,heuristic_fallback,50,50,provider_or_model_configuration_error
296,337,Qwen/Qwen3-1.7B,qwen_llm_coordinator,6,-129.0,63.0,4,7,1.0,1.0,1.0,1.0,heuristic_fallback,50,50,provider_or_model_configuration_error
297,338,Qwen/Qwen3-1.7B,qwen_llm_coordinator,6,13.5,94.0,5,2,1.0,1.0,1.0,1.0,heuristic_fallback,50,50,provider_or_model_configuration_error
298,339,Qwen/Qwen3-1.7B,qwen_llm_coordinator,6,-52.0,76.0,6,4,1.0,1.0,1.0,1.0,heuristic_fallback,50,50,provider_or_model_configuration_error
299,340,Qwen/Qwen3-1.7B,qwen_llm_coordinator,6,31.0,88.0,6,3,0.5,1.0,1.0,1.0,heuristic_fallback,50,50,provider_or_model_configuration_error
300,341,Qwen/Qwen3-1.7B,qwen_llm_coordinator,6,107.5,88.0,6,4,0.0,1.0,1.0,1.0,heuristic_fallback,50,50,provider_or_model_configuration_error
301,342,Qwen/Qwen3-1.7B,qwen_llm_coordinator,6,130.5,84.0,6,2,0.0,1.0,1.0,1.0,heuristic_fallback,50,50,provider_or_model_configuration_error
302,343,Qwen/Qwen3-1.7B,qwen_llm_coordinator,6,271.5,85.0,10,8,0.0,1.0,1.0,1.0,heuristic_fallback,50,50,provider_or_model_configuration_error
303,344,Qwen/Qwen3-1.7B,qwen_llm_coordinator,6,-45.5,88.0,4,5,1.0,1.0,1.0,1.0,heuristic_fallback,50,50,provider_or_model_configuration_error
304,345,Qwen/Qwen3-1.7B,qwen_llm_coordinator,6,86.0,87.0,7,7,0.0,1.0,1.0,1.0,heuristic_fallback,50,50,provider_or_model_configuration_error
305,346,Qwen/Qwen3-1.7B,qwen_llm_coordinator,6,67.5,79.0,4,3,0.0,1.0,1.0,1.0,heuristic_fallback,50,50,provider_or_model_configuration_error
306,347,Qwen/Qwen3-1.7B,qwen_llm_coordinator,6,-61.0,83.0,5,7,0.5,1.0,1.0,1.0,heuristic_fallback,50,50,provider_or_model_configuration_error
307,348,Qwen/Qwen3-1.7B,qwen_llm_coordinator,6,150.5,77.0,6,1,0.0,1.0,1.0,1.0,heuristic_fallback,50,50,provider_or_model_configuration_error
308,349,Qwen/Qwen3-1.7B,qwen_llm_coordinator,6,14.0,82.0,5,1,1.0,1.0,1.0,1.0,heuristic_fallback,50,50,provider_or_model_configuration_error
309,350,Qwen/Qwen3-1.7B,qwen_llm_coordinator,6,148.5,91.0,10,5,0.3333333333333333,1.0,1.0,1.0,heuristic_fallback,50,50,provider_or_model_configuration_error
310,351,Qwen/Qwen3-1.7B,qwen_llm_coordinator,6,32.5,89.0,8,3,1.0,1.0,1.0,1.0,heuristic_fallback,50,50,provider_or_model_configuration_error
311,352,Qwen/Qwen3-1.7B,qwen_llm_coordinator,6,-64.5,82.0,1,5,0.0,1.0,1.0,1.0,heuristic_fallback,50,50,provider_or_model_configuration_error
